case channel_SA
iterations 10000
converged False
elapsed_time 86.756047
final_error_u 1.6668472842898182e-03
final_error_p 1.7320508088034045e-08
final_error_nu_tilde 1.7320550276675969e-08
inflow_flux -8.4490880267573601e+01
outflow_flux 8.4490880267638175e+01
net_flux 6.4574123825877905e-11
rel_imbalance 3.8213664966771483e-13
area_in 1.9999999999999996e+00
area_out 2.0000000000000000e+00
